campus_nam,stu_city,stu_lat,stu_long,stu_servic,stu_online
Karachi,Karachi,24.93681710000,67.07599960000,Zong,Google Meet
Karachi,Karachi,24.92917860000,67.09733070000,PTCL INTERNET,Google Meet
Peshawar,Peshawar,34.00212160000,71.46704060000,Jazz,Google Meet
Karachi,Karachi,24.89395920000,67.18709276000,Zong,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.36849655000,73.06552466000,Jazz,Microsoft Teams
Karachi,Karachi,24.91197373000,67.13803784000,Jazz,Zoom
Karachi,Karachi,3121243213.00000000000,0.00000000000,Zong,Both Google Meet and Zoom
Peshawar,"Nowshera, kp",33.99012876000,72.01554004000,Jazz,Google Meet
Chiniot_Faisalabad,Jaranwala,31.27803740000,73.37234330000,Zong,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,3035130140.00000000000,0.00000000000,Jazz,Google Meet
Karachi,Karachi,24.88041020000,67.19652440000,Jazz,Zoom
Peshawar,Haripur,33.90578490000,72.91357340000,Telenor,Google Meet
Islamabad,Peshawar,33.97441070000,71.43587330000,Jazz,Microsoft Teams
Karachi,Karachi,24.91953840000,67.05911870000,Telenor,Zoom
Karachi,Karachi,24.93087996000,67.13228012000,Jazz,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.36064369000,73.04109052000,PTCL,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.56944210000,73.06709090000,PTCL,Google Meet
Karachi,Karachi,24.91201763000,67.05265356000,Zong,Zoom
Karachi,Karachi,24.86045360000,67.02415330000,Zong,Google Meet
Karachi,Karachi,24.79600020000,67.06135280000,Zong,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.45947870000,73.13569810000,Zong,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.60077507000,73.04801322000,PTCL,Google Meet
Karachi,Karachi,24.90902370000,67.13012210000,PTCL,Google Meet
Chiniot_Faisalabad,SAHIWAL,30.66819980000,73.11135600000,Telenor,Zoom
Chiniot_Faisalabad,Bahawalpur,29.35435000000,71.69106600000,Zong,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,31.45040030000,73.13500152000,Zong,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,31.40944440000,73.04391661000,Jazz,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.59819330000,73.03720710000,PTCL,Microsoft Teams
Karachi,Karachi,24.96239680000,67.05405520000,Ufone,Zoom
Islamabad,Islamabad/Rawalpindi,33.64598148000,73.09102514000,Ufone,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.67553840000,72.98978190000,Ufone,Zoom
Islamabad,Islamabad/Rawalpindi,33.55043580000,73.11578200000,Zong,Microsoft Teams
Chiniot_Faisalabad,Gujrat,32.59490930000,74.04504600000,Telenor,Zoom
Karachi,Karachi,24.93995681000,67.09792845000,Ufone,Google Meet
Karachi,Karachi,3312108575.00000000000,0.00000000000,PTCL,Zoom
Karachi,Karachi,24.89571690000,67.18498010000,Ufone,Zoom
Peshawar,Sargodha,3357024660.00000000000,0.00000000000,Jazz,Google Meet
Chiniot_Faisalabad,Sahiwal Distt Sargodha,31.97600164000,72.32485551000,Zong,Microsoft Teams
Islamabad,Bahawalpur,29.35435000000,71.69106600000,Jazz,Zoom
Islamabad,Dipalpur,30.67764218000,73.64734117000,Zong,Google Meet
Karachi,Karachi,24.86073430000,67.00113640000,PTCL,Google Meet
Karachi,Karachi,24.92216150000,67.05194203000,Jazz,Google Meet
Islamabad,Gujar Khan,33.22812114000,73.31503772000,Zong,Microsoft Teams
Peshawar,Chiniot/Faisalabad,31.39827420000,73.10114660000,I dont use,Google Meet
Peshawar,PAKPATTAN,30.31909510000,73.29244580000,Jazz,Google Meet
Karachi,Ghotki,28.02711550000,69.32351230000,Jazz,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.52171566000,73.13573206000,Zong,Microsoft Teams
Karachi,Karachi,24.93721460000,67.04228100000,UFONE,Zoom
Islamabad,Islamabad/Rawalpindi,33.58492654000,73.10102069000,Jazz,Microsoft Teams
Islamabad,Ali pur chak no 6,30.95367360000,73.87671820000,Telenor,Microsoft Teams
Karachi,Karachi,3322740522.00000000000,0.00000000000,Ufone,Zoom
Peshawar,Islamabad/Rawalpindi,33.50522242000,73.10063215000,Jazz,Google Meet
Karachi,Karachi,24.95960970000,67.22519980000,Ufone,Zoom
Islamabad,Khanewal,30.28641600000,71.93202590000,Jazz,Zoom
Karachi,Mirpur Mathelo,28.02601930000,69.56946370000,Jazz,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.45036620000,73.13496050000,Ufone,Zoom
Karachi,Karachi,24.86073430000,67.00113640000,Telenor,Zoom
Chiniot_Faisalabad,Islamabad/Rawalpindi,33.68015687000,73.01189137000,Ufone,Microsoft Teams
Chiniot_Faisalabad,Sargodha,32.08935526000,72.68606718000,Jazz,Zoom
Chiniot_Faisalabad,Nankana Sahib,31.33860790000,73.83748530000,Jazz,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.68021255000,73.02412692000,Zong,Google Meet
Islamabad,Islamabad/Rawalpindi,33.61200380000,73.51229280000,Telenor,Microsoft Teams
